"BehaviorSpace results (NetLogo 6.2.0)"
"Sugarscape 2 Constant Growback.nlogo"
"experiment"
"02/21/2021 18:10:12:279 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","visualization","initial-population","[step]","count turtles","mean-of-vision","mean-of-metabolism","mean [metabolism] of turtles","mean [vision] of turtles","(count turtles) / (initial-population)","(count good_vision_turtles) / (initial-population)","(count good_metabolism_turtles) / (initial-population)","(count bad_vision_turtles) / (initial-population)","(count bad_metabolism_turtles) / (initial-population)"
"139","no-visualization","220","100","139","3.7227272727272727","2.381818181818182","1.8345323741007193","4.0359712230215825","0.6318181818181818","0.4090909090909091","0.4727272727272727","0.22272727272727272","0.1590909090909091"
"140","no-visualization","220","100","143","3.4045454545454548","2.5636363636363635","1.9580419580419581","3.6013986013986012","0.65","0.34545454545454546","0.4590909090909091","0.30454545454545456","0.19090909090909092"
"141","no-visualization","240","100","149","3.575","2.5","1.825503355704698","3.7651006711409396","0.6208333333333333","0.3625","0.475","0.25833333333333336","0.14583333333333334"
"142","no-visualization","240","100","155","3.5208333333333335","2.433333333333333","1.8516129032258064","3.632258064516129","0.6458333333333334","0.3375","0.48333333333333334","0.30833333333333335","0.1625"
"143","no-visualization","240","100","157","3.433333333333333","2.475","1.910828025477707","3.7070063694267517","0.6541666666666667","0.37083333333333335","0.4708333333333333","0.2833333333333333","0.18333333333333332"
"144","no-visualization","240","100","149","3.5416666666666665","2.495833333333333","1.8791946308724832","3.7651006711409396","0.6208333333333333","0.3541666666666667","0.44166666666666665","0.26666666666666666","0.17916666666666667"
"145","no-visualization","240","100","143","3.3666666666666667","2.475","1.93006993006993","3.6433566433566433","0.5958333333333333","0.31666666666666665","0.4041666666666667","0.2791666666666667","0.19166666666666668"
"148","no-visualization","240","100","149","3.375","2.4541666666666666","1.8926174496644295","3.6577181208053693","0.6208333333333333","0.3458333333333333","0.45","0.275","0.17083333333333334"
"147","no-visualization","240","100","149","3.3875","2.45","1.8926174496644295","3.5838926174496644","0.6208333333333333","0.32916666666666666","0.44166666666666665","0.2916666666666667","0.17916666666666667"
"146","no-visualization","240","100","160","3.6666666666666665","2.4","1.8125","3.91875","0.6666666666666666","0.4","0.4875","0.26666666666666666","0.17916666666666667"
"149","no-visualization","240","100","144","3.6083333333333334","2.441666666666667","1.8125","3.9027777777777777","0.6","0.36666666666666664","0.4625","0.23333333333333334","0.1375"
"150","no-visualization","240","100","151","3.5541666666666667","2.4916666666666667","1.8543046357615893","3.827814569536424","0.6291666666666667","0.375","0.4791666666666667","0.25416666666666665","0.15"
"151","no-visualization","240","100","139","3.325","2.5375","1.8129496402877698","3.661870503597122","0.5791666666666667","0.3125","0.45416666666666666","0.26666666666666666","0.125"
"152","no-visualization","240","100","153","3.620833333333333","2.4166666666666665","1.9019607843137254","3.8627450980392157","0.6375","0.37916666666666665","0.4375","0.25833333333333336","0.2"
"153","no-visualization","240","100","146","3.5208333333333335","2.470833333333333","1.8972602739726028","3.9315068493150687","0.6083333333333333","0.3625","0.45","0.24583333333333332","0.15833333333333333"
"154","no-visualization","240","100","153","3.5791666666666666","2.4541666666666666","1.9019607843137254","3.810457516339869","0.6375","0.36666666666666664","0.4708333333333333","0.2708333333333333","0.16666666666666666"
"155","no-visualization","240","100","155","3.4916666666666667","2.3875","1.8774193548387097","3.696774193548387","0.6458333333333334","0.3541666666666667","0.4666666666666667","0.2916666666666667","0.17916666666666667"
"157","no-visualization","240","100","152","3.345833333333333","2.466666666666667","1.9078947368421053","3.5526315789473686","0.6333333333333333","0.3416666666666667","0.44583333333333336","0.2916666666666667","0.1875"
"158","no-visualization","240","100","141","3.4791666666666665","2.5166666666666666","1.801418439716312","3.631205673758865","0.5875","0.30833333333333335","0.45","0.2791666666666667","0.1375"
"156","no-visualization","240","100","153","3.404166666666667","2.4916666666666667","1.9215686274509804","3.6470588235294117","0.6375","0.3416666666666667","0.45","0.29583333333333334","0.1875"
"159","no-visualization","240","100","139","3.6166666666666667","2.6625","2.014388489208633","3.7985611510791366","0.5791666666666667","0.3333333333333333","0.3875","0.24583333333333332","0.19166666666666668"
"160","no-visualization","240","100","158","3.495833333333333","2.470833333333333","1.8924050632911393","3.6392405063291138","0.6583333333333333","0.375","0.48333333333333334","0.2833333333333333","0.175"
"161","no-visualization","260","100","160","3.546153846153846","2.526923076923077","1.9125","3.71875","0.6153846153846154","0.3230769230769231","0.45384615384615384","0.2923076923076923","0.16153846153846155"
"162","no-visualization","260","100","158","3.5307692307692307","2.5076923076923077","1.879746835443038","3.6645569620253164","0.6076923076923076","0.3346153846153846","0.4346153846153846","0.27307692307692305","0.17307692307692307"
"163","no-visualization","260","100","153","3.5115384615384615","2.546153846153846","1.9215686274509804","3.6862745098039214","0.5884615384615385","0.3269230769230769","0.4153846153846154","0.26153846153846155","0.17307692307692307"
