[run number],visualization,initial-population,[step],count turtles,mean-of-vision,mean-of-metabolism,mean [metabolism] of turtles,mean [vision] of turtles,(count turtles) / (initial-population),(count good_vision_turtles) / (initial-population),(count good_metabolism_turtles) / (initial-population),(count bad_vision_turtles) / (initial-population),(count bad_metabolism_turtles) / (initial-population)
769,no-visualization,860,100,370,3.380232558,2.505813953,1.475675676,3.486486486,0.430232558,0.210465116,0.423255814,0.219767442,0.006976744
770,no-visualization,860,100,384,3.590697674,2.490697674,1.447916667,3.716145833,0.446511628,0.248837209,0.446511628,0.197674419,0
771,no-visualization,860,100,391,3.431395349,2.509302326,1.493606138,3.547314578,0.454651163,0.230232558,0.451162791,0.224418605,0.003488372
773,no-visualization,860,100,383,3.606976744,2.480232558,1.488250653,3.671018277,0.445348837,0.240697674,0.444186047,0.204651163,0.001162791
774,no-visualization,860,100,364,3.494186047,2.51627907,1.491758242,3.703296703,0.423255814,0.238372093,0.419767442,0.184883721,0.003488372
772,no-visualization,860,100,394,3.426744186,2.46744186,1.484771574,3.568527919,0.458139535,0.245348837,0.455813953,0.212790698,0.002325581
775,no-visualization,860,100,391,3.45,2.446511628,1.447570332,3.675191816,0.454651163,0.251162791,0.452325581,0.203488372,0.002325581
776,no-visualization,860,100,393,3.511627907,2.48372093,1.519083969,3.821882952,0.456976744,0.273255814,0.454651163,0.18372093,0.002325581
777,no-visualization,860,100,368,3.497674419,2.519767442,1.467391304,3.744565217,0.427906977,0.241860465,0.426744186,0.186046512,0.001162791
778,no-visualization,860,100,386,3.518604651,2.513953488,1.443005181,3.670984456,0.448837209,0.241860465,0.448837209,0.206976744,0
779,no-visualization,860,100,374,3.584883721,2.55,1.5,3.751336898,0.434883721,0.246511628,0.434883721,0.188372093,0
780,no-visualization,860,100,372,3.665116279,2.570930233,1.510752688,3.795698925,0.43255814,0.248837209,0.430232558,0.18372093,0.002325581
783,no-visualization,880,100,381,3.531818182,2.502272727,1.45144357,3.622047244,0.432954545,0.232954545,0.432954545,0.2,0
781,no-visualization,880,100,362,3.5375,2.546590909,1.453038674,3.657458564,0.411363636,0.220454545,0.411363636,0.190909091,0
784,no-visualization,880,100,375,3.475,2.519318182,1.498666667,3.517333333,0.426136364,0.214772727,0.425,0.211363636,0.001136364
782,no-visualization,880,100,375,3.415909091,2.505681818,1.453333333,3.581333333,0.426136364,0.221590909,0.423863636,0.204545455,0.002272727
785,no-visualization,880,100,369,3.523863636,2.540909091,1.468834688,3.528455285,0.419318182,0.210227273,0.415909091,0.209090909,0.003409091
786,no-visualization,880,100,394,3.479545455,2.465909091,1.469543147,3.609137056,0.447727273,0.225,0.447727273,0.222727273,0
787,no-visualization,880,100,404,3.493181818,2.439772727,1.45049505,3.596534653,0.459090909,0.242045455,0.459090909,0.217045455,0
788,no-visualization,880,100,377,3.4125,2.509090909,1.472148541,3.679045093,0.428409091,0.239772727,0.428409091,0.188636364,0
789,no-visualization,880,100,380,3.519318182,2.504545455,1.415789474,3.6,0.431818182,0.230681818,0.427272727,0.201136364,0.004545455
790,no-visualization,880,100,387,3.523863636,2.517045455,1.488372093,3.764857881,0.439772727,0.238636364,0.439772727,0.201136364,0
791,no-visualization,880,100,398,3.535227273,2.488636364,1.479899497,3.653266332,0.452272727,0.245454545,0.451136364,0.206818182,0.001136364
792,no-visualization,880,100,361,3.569318182,2.571590909,1.479224377,3.742382271,0.410227273,0.235227273,0.406818182,0.175,0.003409091
793,no-visualization,880,100,428,3.565909091,2.379545455,1.413551402,3.593457944,0.486363636,0.253409091,0.484090909,0.232954545,0.002272727
794,no-visualization,880,100,388,3.4375,2.495454545,1.427835052,3.507731959,0.440909091,0.221590909,0.440909091,0.219318182,0
795,no-visualization,880,100,385,3.395454545,2.507954545,1.462337662,3.4,0.4375,0.219318182,0.4375,0.218181818,0
797,no-visualization,880,100,396,3.413636364,2.507954545,1.542929293,3.623737374,0.45,0.2375,0.4375,0.2125,0.0125
796,no-visualization,880,100,404,3.476136364,2.492045455,1.48019802,3.584158416,0.459090909,0.240909091,0.459090909,0.218181818,0
798,no-visualization,880,100,364,3.498863636,2.568181818,1.458791209,3.604395604,0.413636364,0.219318182,0.4125,0.194318182,0.001136364
799,no-visualization,880,100,392,3.418181818,2.522727273,1.49744898,3.642857143,0.445454545,0.25,0.445454545,0.195454545,0
